voyageurs,chambres,lits,salles_de_bain,prix_total,nb_nuits,note,nb_avis,latitude,longitude,Cuisine,Wifi,Eau chaude,Équipements de cuisine de base,Draps,Vaisselle et couverts,Télévision,Cintres,Fer à repasser,Lave-linge,localisation_detail,type_logement_clean,prix_par_nuit,prix_par_voyageur
4.0,1.0,1.0,1.0,278.0,5,5.0,19.0,33.81426316002119,-7.143945283566528,1,1,1,1,1,1,1,1,0,0,Bouznika,Appartement,55.6,69.5
5.0,2.0,4.0,1.0,374.0,5,5.0,8.0,33.7922,-7.1633,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,74.8,74.8
4.0,2.0,3.0,1.0,212.0,5,4.83,6.0,33.8048,-7.1758,1,0,1,1,1,1,1,1,0,1,Bouznika,Appartement,42.4,53.0
5.0,1.0,1.0,1.0,187.0,5,4.92,24.0,33.7734,-7.1599,1,1,1,1,1,0,1,0,0,1,Bouznika,Appartement,37.4,37.4
6.0,2.0,3.0,2.0,252.0,5,5.0,10.0,33.8228,-7.1283,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,50.4,42.0
6.0,2.0,3.0,1.0,194.0,5,4.8,169.0,33.77382917515295,-7.15933408807546,1,1,1,1,1,1,1,0,0,1,Bouznika,Appartement,38.8,32.333333333333336
4.0,2.0,3.0,2.0,322.0,5,5.0,6.0,33.8041,-7.1785,1,1,1,1,1,0,1,1,0,1,Bouznika,Appartement,64.4,80.5
5.0,2.0,2.0,1.0,370.0,5,5.0,19.0,33.7948,-7.1622,1,1,1,1,0,1,1,0,0,1,Bouznika,Appartement,74.0,74.0
3.0,1.0,1.0,1.0,205.0,5,4.9,60.0,33.8117,-7.1464,1,1,1,1,1,1,1,1,1,0,Bouznika,Appartement,41.0,68.33333333333333
4.0,2.0,4.0,1.0,211.0,5,5.0,8.0,33.76690267575722,-7.155037220301384,1,1,1,1,1,1,1,1,0,1,Bouznika,Appartement en résidence,42.2,52.75
2.0,1.0,1.0,1.0,236.0,5,5.0,13.0,33.7734,-7.1599,1,1,1,1,1,1,0,1,0,1,Bouznika,Appartement en résidence,47.2,118.0
4.0,1.0,2.0,1.0,272.0,5,5.0,10.0,33.7957,-7.16335,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,54.4,68.0
6.0,2.0,3.0,2.0,227.0,5,4.94,33.0,33.8111,-7.1475,1,1,1,1,0,1,0,1,0,1,Bouznika,Appartement,45.4,37.833333333333336
5.0,1.0,4.0,1.0,201.0,5,4.98,44.0,33.8103,-7.1472,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,40.2,40.2
3.0,1.0,1.0,1.0,264.0,5,4.96,27.0,33.81116,-7.14609,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,52.8,88.0
4.0,1.0,2.0,1.0,139.0,5,4.9,30.0,33.8165,-7.1432,1,1,1,1,1,0,0,1,0,1,Bouznika,Appartement,27.8,34.75
5.0,2.0,5.0,1.0,141.0,5,4.85,20.0,33.7663021876477,-7.161458780518581,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,28.2,28.2
7.0,2.0,3.0,1.0,217.0,5,4.93,80.0,33.80582,-7.17745,1,1,1,1,1,1,0,1,1,1,Bouznika,Appartement,43.4,31.0
4.0,1.0,2.0,1.0,240.0,5,4.7,77.0,33.79341,-7.16189,1,1,1,1,1,1,0,1,0,1,Bouznika,Appartement en résidence,48.0,60.0
4.0,1.0,2.0,1.0,139.0,5,4.9,30.0,33.8165,-7.1432,1,1,1,1,1,0,0,1,0,1,Bouznika,Appartement,27.8,34.75
4.0,2.0,3.0,1.0,206.0,5,4.88,8.0,33.7734,-7.1599,1,1,1,1,1,1,1,1,1,0,Bouznika,Appartement,41.2,51.5
3.0,1.0,2.0,1.0,190.0,5,5.0,4.0,33.8249059726068,-7.122104896326315,1,1,1,1,1,1,1,1,1,1,Cherrat,Appartement,38.0,63.333333333333336
3.0,1.0,1.0,1.0,203.0,5,4.91,58.0,33.8117,-7.1466,1,1,0,0,0,0,1,0,0,0,Bouznika,Appartement,40.6,67.66666666666667
3.0,1.0,1.0,1.0,215.0,5,4.97,122.0,33.77301,-7.1608,1,1,1,1,1,1,1,0,0,1,Bouznika,Appartement,43.0,71.66666666666667
2.0,1.0,1.0,1.0,222.0,5,5.0,6.0,33.5953,-7.6096,1,1,1,0,1,0,1,0,1,1,Casablanca,Appartement,44.4,111.0
2.0,1.0,6.0,2.0,200.0,5,5.0,15.0,34.0254,-6.8372,1,1,1,1,1,0,0,0,0,1,Rabat,Hébergement,40.0,100.0
3.0,1.0,1.0,1.0,182.0,5,4.78,135.0,33.5803,-7.5957,1,1,1,1,1,1,0,1,0,0,Casablanca,Loft,36.4,60.666666666666664
6.0,3.0,3.0,1.0,172.0,5,4.8,103.0,33.5957,-7.5976,1,1,1,1,1,1,1,1,1,1,Casablanca,Appartement en résidence,34.4,28.666666666666668
2.0,1.0,1.0,2.0,204.0,5,4.77,123.0,34.02705,-6.83513,1,1,1,1,0,1,0,0,1,0,Rabat,Maison de ville,40.8,102.0
2.0,1.0,2.0,1.0,186.0,5,4.73,66.0,34.02535,-6.84962,1,1,1,1,1,1,1,0,1,0,Rabat,Appartement,37.2,93.0
4.0,2.0,3.0,1.0,216.0,5,4.91,27.0,33.79293,-7.16014,1,1,1,1,0,1,1,0,0,1,Bouznika,Appartement,43.2,54.0
4.0,2.0,2.0,2.0,332.0,5,4.79,19.0,33.8109,-7.147,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement en résidence,66.4,83.0
4.0,1.0,1.0,1.0,233.0,5,5.0,13.0,33.81086324842604,-7.145882120628395,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,46.6,58.25
4.0,1.0,1.0,1.0,194.0,5,4.94,31.0,33.7942,-7.1616,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,38.8,48.5
4.0,2.0,3.0,1.0,329.0,5,4.8,5.0,33.8159,-7.1439,1,1,0,1,0,0,1,0,0,1,Bouznika,Appartement,65.8,82.25
2.0,1.0,2.0,1.0,194.0,5,4.87,47.0,33.81037,-7.15429,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,38.8,97.0
5.0,2.0,5.0,1.0,141.0,5,4.85,20.0,33.7663021876477,-7.161458780518581,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,28.2,28.2
5.0,1.0,3.0,1.0,167.0,5,5.0,10.0,33.7601,-7.27514,1,1,0,0,0,0,1,0,0,1,El Mansouria,Appartement,33.4,33.4
6.0,2.0,3.0,2.0,293.0,5,4.4,5.0,33.8104,-7.1474,1,1,1,1,1,1,1,1,0,1,Bouznika,Appartement en résidence,58.6,48.833333333333336
4.0,1.0,1.0,1.0,248.0,5,4.91,27.0,33.79396467924845,-7.160136810990828,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,49.6,62.0
4.0,1.0,3.0,1.0,314.0,5,4.94,18.0,33.8099,-7.1595,1,1,1,1,0,1,1,0,0,1,Bouznika,Appartement,62.8,78.5
4.0,3.0,3.0,1.0,208.0,5,4.8,5.0,33.76416771778483,-7.155202513259749,1,1,1,0,0,0,1,0,1,1,Bouznika,Appartement,41.6,52.0
6.0,2.0,3.0,1.0,194.0,5,4.8,169.0,33.77382917515295,-7.15933408807546,1,1,1,1,1,1,1,0,0,1,Bouznika,Appartement,38.8,32.333333333333336
4.0,1.0,1.0,1.0,248.0,5,4.91,27.0,33.79396467924845,-7.160136810990828,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,49.6,62.0
5.0,2.0,3.0,1.0,193.0,5,4.68,47.0,33.7633,-7.1544,1,0,1,1,1,1,0,1,0,1,Bouznika,Appartement en résidence,38.6,38.6
5.0,2.0,3.0,1.0,222.0,5,4.87,145.0,33.79173,-7.16314,0,1,1,1,1,1,1,1,1,1,Bouznika,Appartement en résidence,44.4,44.4
4.0,1.0,2.0,1.0,258.0,5,4.88,33.0,33.8102,-7.1457,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,51.6,64.5
4.0,2.0,3.0,1.0,286.0,5,4.93,14.0,33.81512109866433,-7.146391842772212,1,1,1,1,0,1,1,0,0,1,Bouznika,Appartement,57.2,71.5
5.0,2.0,4.0,1.0,235.0,5,4.95,20.0,33.79244,-7.16366,1,1,1,1,1,1,1,1,0,1,Bouznika,Appartement en résidence,47.0,47.0
6.0,2.0,3.0,1.0,274.0,5,4.8,10.0,33.7946,-7.162,1,0,0,0,0,0,1,0,0,0,Bouznika,Appartement,54.8,45.666666666666664
5.0,2.0,3.0,2.0,178.0,5,4.89,9.0,33.7633,-7.1544,1,1,0,0,1,0,1,0,0,1,Bouznika,Appartement,35.6,35.6
6.0,2.0,1.0,1.0,229.0,5,4.74,27.0,33.7931,-7.16111,1,1,1,1,1,1,1,1,0,1,Bouznika,Appartement,45.8,38.166666666666664
3.0,1.0,1.0,1.0,194.0,5,4.81,54.0,33.809,-7.1592,1,0,1,1,1,1,1,0,0,0,Bouznika,Appartement en résidence,38.8,64.66666666666667
4.0,2.0,3.0,1.0,216.0,5,4.83,52.0,33.81256346906514,-7.145486770314135,1,1,1,1,0,1,1,1,0,1,Bouznika,Appartement,43.2,54.0
5.0,2.0,4.0,2.0,275.0,5,5.0,4.0,33.79659194673605,-7.160121101859616,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,55.0,55.0
6.0,3.0,3.0,1.0,244.0,5,4.97,38.0,33.81187,-7.14525,1,1,1,1,1,1,0,1,0,1,Bouznika,Appartement en résidence,48.8,40.666666666666664
5.0,2.0,3.0,2.0,399.0,5,5.0,4.0,33.7944,-7.1945,1,1,1,1,1,1,0,1,0,1,Bouznika,Appartement en résidence,79.8,79.8
4.0,2.0,3.0,1.0,171.0,5,4.95,39.0,33.84239714209061,-7.053177831621844,1,1,1,1,1,1,1,1,1,1,Skhirate,Appartement,34.2,42.75
4.0,1.0,1.0,1.0,229.0,5,4.75,4.0,33.77261797721231,-7.159077048342109,1,0,1,1,1,0,0,0,0,0,Bouznika,Appartement,45.8,57.25
6.0,2.0,2.0,1.0,220.0,5,4.8,10.0,33.79079913820652,-7.162442745133851,1,1,1,1,1,1,1,1,0,1,Bouznika,Appartement,44.0,36.666666666666664
4.0,2.0,3.0,1.0,286.0,5,4.93,14.0,33.81512109866433,-7.146391842772212,1,1,1,1,0,1,1,0,0,1,Bouznika,Appartement,57.2,71.5
5.0,2.0,3.0,1.0,222.0,5,4.87,145.0,33.79173,-7.16314,0,1,1,1,1,1,1,1,1,1,Bouznika,Appartement en résidence,44.4,44.4
6.0,3.0,3.0,1.0,179.0,5,4.93,43.0,33.77375,-7.15898,1,1,1,1,1,1,0,1,0,1,Bouznika,Appartement en résidence,35.8,29.833333333333332
4.0,2.0,3.0,2.0,266.0,5,4.91,27.0,33.8101,-7.1468,1,1,1,1,1,1,1,1,0,1,Bouznika,Appartement,53.2,66.5
5.0,2.0,6.0,1.0,194.0,5,4.89,9.0,33.7705,-7.2531,1,1,1,1,1,1,1,0,1,1,El Mansouria,Appartement,38.8,38.8
4.0,1.0,4.0,1.0,233.0,5,5.0,11.0,33.75989231391763,-7.273376270870866,1,1,1,0,1,0,1,0,0,1,El Mansouria,Appartement en résidence,46.6,58.25
6.0,3.0,3.0,1.0,317.0,5,4.83,12.0,33.78896067524552,-7.151045596019628,1,1,1,1,0,1,1,1,1,1,Bouznika,Appartement,63.4,52.833333333333336
4.0,2.0,3.0,2.0,278.0,5,4.79,29.0,33.7734,-7.1599,1,0,0,0,0,0,1,0,0,0,Bouznika,Appartement,55.6,69.5
5.0,2.0,3.0,2.0,332.0,5,5.0,3.0,33.78835328322813,-7.147549356984168,1,1,0,1,1,1,1,1,1,1,Bouznika,Appartement,66.4,66.4
5.0,1.0,1.0,0.0,250.0,5,5.0,5.0,33.7734,-7.1599,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,50.0,50.0
5.0,2.0,4.0,2.0,275.0,5,5.0,4.0,33.79659194673605,-7.160121101859616,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,55.0,55.0
4.0,2.0,3.0,1.0,146.0,5,4.91,27.0,33.77148313498157,-7.159173364937168,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,29.2,36.5
4.0,1.0,1.0,1.0,147.0,5,4.91,27.0,33.77663771922096,-7.160738542298009,1,1,1,0,1,1,1,1,1,1,Bouznika,Appartement,29.4,36.75
6.0,3.0,3.0,1.0,244.0,5,4.97,38.0,33.81187,-7.14525,1,1,1,1,1,1,0,1,0,1,Bouznika,Appartement en résidence,48.8,40.666666666666664
6.0,2.0,3.0,2.0,311.0,5,4.91,45.0,33.74466,-7.29359,1,1,1,1,1,1,1,1,0,1,El Mansouria,Appartement,62.2,51.833333333333336
5.0,2.0,2.0,1.0,208.0,5,4.82,50.0,33.7929,-7.1615,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement en résidence,41.6,41.6
4.0,2.0,3.0,1.0,171.0,5,4.95,39.0,33.84239714209061,-7.053177831621844,1,1,1,1,1,1,1,1,1,1,Skhirate,Appartement,34.2,42.75
5.0,2.0,3.0,1.0,235.0,5,4.88,41.0,33.7915,-7.1626,1,1,1,1,1,1,1,0,0,1,Bouznika,Appartement,47.0,47.0
3.0,1.0,1.0,1.0,194.0,5,4.81,54.0,33.809,-7.1592,1,0,1,1,1,1,1,0,0,0,Bouznika,Appartement en résidence,38.8,64.66666666666667
4.0,2.0,3.0,2.0,222.0,5,4.91,22.0,33.7456,-7.2976,1,1,1,0,1,0,1,1,1,1,El Mansouria,Appartement,44.4,55.5
4.0,1.0,2.0,1.0,242.0,5,5.0,7.0,33.7153,-7.3494,1,1,0,0,0,0,0,0,0,1,Mohammédia,Appartement,48.4,60.5
6.0,2.0,2.0,2.0,278.0,5,4.95,20.0,33.8059,-7.1121,1,1,1,0,1,0,1,0,1,1,Bouznika,Appartement,55.6,46.333333333333336
2.0,1.0,1.0,1.0,278.0,5,5.0,18.0,33.82285,-7.14156,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,55.6,139.0
4.0,2.0,3.0,1.0,377.0,5,4.86,22.0,33.7853,-7.1662,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,75.4,94.25
5.0,2.0,4.0,1.0,342.0,5,5.0,9.0,33.80822905445513,-7.160250895833294,1,1,1,1,1,1,1,1,1,1,Bouznika,Appartement,68.4,68.4
4.0,2.0,3.0,1.0,274.0,5,5.0,33.0,33.8111,-7.16,1,1,1,1,0,1,1,1,1,1,Bouznika,Appartement,54.8,68.5
4.0,2.0,3.0,2.0,278.0,5,4.79,29.0,33.7734,-7.1599,1,0,0,0,0,0,1,0,0,0,Bouznika,Appartement,55.6,69.5
5.0,1.0,1.0,0.0,250.0,5,5.0,5.0,33.7734,-7.1599,1,1,0,0,0,0,1,0,0,1,Bouznika,Appartement,50.0,50.0
6.0,2.0,3.0,2.0,197.0,5,4.79,53.0,33.8509,-7.0489,0,1,1,1,1,1,1,1,1,1,Skhirate,Appartement,39.4,32.833333333333336
